date,year,month,day,Day of the week,work
2020/8/21,2020,8,21,5,TRUE
2020/8/22,2020,8,22,6,FALSE
2020/8/23,2020,8,23,7,FALSE
2020/8/24,2020,8,24,1,TRUE
2020/8/25,2020,8,25,2,TRUE
2020/8/26,2020,8,26,3,TRUE
2020/8/27,2020,8,27,4,TRUE
2020/8/28,2020,8,28,5,TRUE
2020/8/29,2020,8,29,6,FALSE
2020/8/30,2020,8,30,7,FALSE
2020/8/31,2020,8,31,1,TRUE
2020/9/1,2020,9,1,2,TRUE
2020/9/2,2020,9,2,3,TRUE
2020/9/3,2020,9,3,4,TRUE
2020/9/4,2020,9,4,5,TRUE
2020/9/5,2020,9,5,6,FALSE
2020/9/6,2020,9,6,7,FALSE
2020/9/7,2020,9,7,1,TRUE
2020/9/8,2020,9,8,2,TRUE
2020/9/9,2020,9,9,3,TRUE
2020/9/10,2020,9,10,4,TRUE
2020/9/11,2020,9,11,5,TRUE
2020/9/12,2020,9,12,6,FALSE
2020/9/13,2020,9,13,7,FALSE
2020/9/14,2020,9,14,1,TRUE
2020/9/15,2020,9,15,2,TRUE
2020/9/16,2020,9,16,3,TRUE
2020/9/17,2020,9,17,4,TRUE
2020/9/18,2020,9,18,5,TRUE
2020/9/19,2020,9,19,6,FALSE
2020/9/20,2020,9,20,7,FALSE
2020/9/21,2020,9,21,1,TRUE
2020/9/22,2020,9,22,2,TRUE
2020/9/23,2020,9,23,3,TRUE
2020/9/24,2020,9,24,4,TRUE
2020/9/25,2020,9,25,5,TRUE
2020/9/26,2020,9,26,6,TRUE
2020/9/27,2020,9,27,7,FALSE
2020/9/28,2020,9,28,1,TRUE
2020/9/29,2020,9,29,2,TRUE
2020/9/30,2020,9,30,3,TRUE
2020/10/1,2020,10,1,4,FALSE
2020/10/2,2020,10,2,5,FALSE
2020/10/3,2020,10,3,6,FALSE
2020/10/4,2020,10,4,7,FALSE
2020/10/5,2020,10,5,1,TRUE
2020/10/6,2020,10,6,2,TRUE
2020/10/7,2020,10,7,3,TRUE
2020/10/8,2020,10,8,4,TRUE
2020/10/9,2020,10,9,5,FALSE
2020/10/10,2020,10,10,6,FALSE
2020/10/11,2020,10,11,7,FALSE
2020/10/12,2020,10,12,1,TRUE
2020/10/13,2020,10,13,2,TRUE
2020/10/14,2020,10,14,3,TRUE
2020/10/15,2020,10,15,4,TRUE
2020/10/16,2020,10,16,5,TRUE
2020/10/17,2020,10,17,6,FALSE
2020/10/18,2020,10,18,7,FALSE
2020/10/19,2020,10,19,1,TRUE
2020/10/20,2020,10,20,2,TRUE
